country,model,exog_vars,value,metric,stat
Germany,arima,death_all,7476.223481522968,MAE,MEDIAN
Germany,arima,death_mobility,6551.561688255571,MAE,MEDIAN
Germany,arima,death_recovered,5644.185604135972,MAE,MEDIAN
Germany,arima,death_stringency,5620.842031081709,MAE,MEDIAN
Germany,arima,no_exog,5391.654982843853,MAE,MEDIAN
Germany,cnn_lstm,death_all,16517.444545200895,MAE,MEDIAN
Germany,cnn_lstm,death_mobility,18976.02043805804,MAE,MEDIAN
Germany,cnn_lstm,death_recovered,18304.994001116072,MAE,MEDIAN
Germany,cnn_lstm,death_stringency,25391.036339896065,MAE,MEDIAN
Germany,cnn_lstm,no_exog,16708.635044642855,MAE,MEDIAN
Germany,curvefit_lstm,death_all,591721.7785902827,MAE,MEDIAN
Germany,curvefit_lstm,death_mobility,482129.9861479472,MAE,MEDIAN
Germany,curvefit_lstm,death_recovered,273615.0362660651,MAE,MEDIAN
Germany,curvefit_lstm,death_stringency,428677.9426211614,MAE,MEDIAN
Germany,curvefit_lstm,no_exog,254259.83369555543,MAE,MEDIAN
Germany,lstm,death_all,16549.664202008928,MAE,MEDIAN
Germany,lstm,death_mobility,12624.331389835905,MAE,MEDIAN
Germany,lstm,death_recovered,9400.760393415178,MAE,MEDIAN
Germany,lstm,death_stringency,15915.806919642857,MAE,MEDIAN
Germany,lstm,no_exog,5895.080461774553,MAE,MEDIAN
Germany,prophet,death_all,29697.7234729906,MAE,MEDIAN
Germany,prophet,death_mobility,28004.17496618924,MAE,MEDIAN
Germany,prophet,death_recovered,22127.259846052533,MAE,MEDIAN
Germany,prophet,death_stringency,28881.26086155905,MAE,MEDIAN
Germany,prophet,no_exog,27506.644865536808,MAE,MEDIAN
Germany,sarima,death_all,7057.206948356597,MAE,MEDIAN
Germany,sarima,death_mobility,6695.579299375074,MAE,MEDIAN
Germany,sarima,death_recovered,6542.218026068282,MAE,MEDIAN
Germany,sarima,death_stringency,6567.836955251834,MAE,MEDIAN
Germany,sarima,no_exog,6013.590564017638,MAE,MEDIAN
Germany,svr,death_all,27252.891579792114,MAE,MEDIAN
Germany,svr,death_mobility,26331.41371466689,MAE,MEDIAN
Germany,svr,death_recovered,23537.91756005123,MAE,MEDIAN
Germany,svr,death_stringency,27231.41172779144,MAE,MEDIAN
Germany,svr,no_exog,4501.761681387647,MAE,MEDIAN
Germany,arima,death_all,5172.362649333752,MAE,P25
Germany,arima,death_mobility,3884.001731148995,MAE,P25
Germany,arima,death_recovered,3809.980260119093,MAE,P25
Germany,arima,death_stringency,3840.99366346248,MAE,P25
Germany,arima,no_exog,3684.602326188866,MAE,P25
Germany,cnn_lstm,death_all,12727.385297502791,MAE,P25
Germany,cnn_lstm,death_mobility,13265.52774483817,MAE,P25
Germany,cnn_lstm,death_recovered,13468.88609095982,MAE,P25
Germany,cnn_lstm,death_stringency,21139.08655657087,MAE,P25
Germany,cnn_lstm,no_exog,12970.771833147322,MAE,P25
Germany,curvefit_lstm,death_all,505933.0730913772,MAE,P25
Germany,curvefit_lstm,death_mobility,414505.7532972026,MAE,P25
Germany,curvefit_lstm,death_recovered,236436.57745429792,MAE,P25
Germany,curvefit_lstm,death_stringency,364498.7927743052,MAE,P25
Germany,curvefit_lstm,no_exog,206104.010158506,MAE,P25
Germany,lstm,death_all,13096.812430245536,MAE,P25
Germany,lstm,death_mobility,8146.988990238735,MAE,P25
Germany,lstm,death_recovered,5559.482147216797,MAE,P25
Germany,lstm,death_stringency,10751.614676339286,MAE,P25
Germany,lstm,no_exog,3965.012634277344,MAE,P25
Germany,prophet,death_all,18926.66576100776,MAE,P25
Germany,prophet,death_mobility,17386.335086608036,MAE,P25
Germany,prophet,death_recovered,16407.537661471222,MAE,P25
Germany,prophet,death_stringency,16919.53765416663,MAE,P25
Germany,prophet,no_exog,18266.27391382663,MAE,P25
Germany,sarima,death_all,4220.02317533412,MAE,P25
Germany,sarima,death_mobility,4253.974327077651,MAE,P25
Germany,sarima,death_recovered,4070.4297910675778,MAE,P25
Germany,sarima,death_stringency,4087.6004360830784,MAE,P25
Germany,sarima,no_exog,3860.355478239392,MAE,P25
Germany,svr,death_all,20971.74939651909,MAE,P25
Germany,svr,death_mobility,20487.6711323932,MAE,P25
Germany,svr,death_recovered,16661.086744068343,MAE,P25
Germany,svr,death_stringency,20931.697581977078,MAE,P25
Germany,svr,no_exog,2375.1706821182843,MAE,P25
Germany,arima,death_all,16236.269697264948,MAE,P75
Germany,arima,death_mobility,17105.706567238776,MAE,P75
Germany,arima,death_recovered,15013.500548214824,MAE,P75
Germany,arima,death_stringency,14963.996957869764,MAE,P75
Germany,arima,no_exog,18325.621934684605,MAE,P75
Germany,cnn_lstm,death_all,25431.63141741072,MAE,P75
Germany,cnn_lstm,death_mobility,25730.979143415178,MAE,P75
Germany,cnn_lstm,death_recovered,27694.065150669645,MAE,P75
Germany,cnn_lstm,death_stringency,33286.486642020085,MAE,P75
Germany,cnn_lstm,no_exog,24618.099679129464,MAE,P75
Germany,curvefit_lstm,death_all,625337.8534754133,MAE,P75
Germany,curvefit_lstm,death_mobility,508122.6572914737,MAE,P75
Germany,curvefit_lstm,death_recovered,288174.8531620094,MAE,P75
Germany,curvefit_lstm,death_stringency,453059.4859745094,MAE,P75
Germany,curvefit_lstm,no_exog,271934.89780486654,MAE,P75
Germany,lstm,death_all,24772.21826171875,MAE,P75
Germany,lstm,death_mobility,17802.51436941964,MAE,P75
Germany,lstm,death_recovered,19337.43374633789,MAE,P75
Germany,lstm,death_stringency,22882.79847935268,MAE,P75
Germany,lstm,no_exog,20936.21508353097,MAE,P75
Germany,prophet,death_all,42913.09012937898,MAE,P75
Germany,prophet,death_mobility,40592.574108178655,MAE,P75
Germany,prophet,death_recovered,32054.6764767066,MAE,P75
Germany,prophet,death_stringency,44750.69735939325,MAE,P75
Germany,prophet,no_exog,38296.69966297745,MAE,P75
Germany,sarima,death_all,15426.39028871468,MAE,P75
Germany,sarima,death_mobility,15152.031136926063,MAE,P75
Germany,sarima,death_recovered,15480.96728698718,MAE,P75
Germany,sarima,death_stringency,15459.378121198197,MAE,P75
Germany,sarima,no_exog,17946.499767078032,MAE,P75
Germany,svr,death_all,34605.74723839284,MAE,P75
Germany,svr,death_mobility,33200.464627716814,MAE,P75
Germany,svr,death_recovered,28048.588494254727,MAE,P75
Germany,svr,death_stringency,34584.20100236615,MAE,P75
Germany,svr,no_exog,17003.19074319153,MAE,P75
Germany,arima,death_all,3012.9989142129957,MAE,MIN
Germany,arima,death_mobility,2444.927850040785,MAE,MIN
Germany,arima,death_recovered,1945.932848854724,MAE,MIN
Germany,arima,death_stringency,1939.665221140738,MAE,MIN
Germany,arima,no_exog,1397.7887692964164,MAE,MIN
Germany,cnn_lstm,death_all,7813.525111607143,MAE,MIN
Germany,cnn_lstm,death_mobility,5044.65573992048,MAE,MIN
Germany,cnn_lstm,death_recovered,3730.144670758928,MAE,MIN
Germany,cnn_lstm,death_stringency,14293.596339634489,MAE,MIN
Germany,cnn_lstm,no_exog,4182.392020089285,MAE,MIN
Germany,curvefit_lstm,death_all,458506.95917766925,MAE,MIN
Germany,curvefit_lstm,death_mobility,369399.1408182943,MAE,MIN
Germany,curvefit_lstm,death_recovered,186694.27474686576,MAE,MIN
Germany,curvefit_lstm,death_stringency,319886.4600147229,MAE,MIN
Germany,curvefit_lstm,no_exog,158036.37296115144,MAE,MIN
Germany,lstm,death_all,4758.520368303572,MAE,MIN
Germany,lstm,death_mobility,4083.661934988839,MAE,MIN
Germany,lstm,death_recovered,2507.5999646868027,MAE,MIN
Germany,lstm,death_stringency,5847.872907366072,MAE,MIN
Germany,lstm,no_exog,1363.112758091518,MAE,MIN
Germany,prophet,death_all,8122.23339399057,MAE,MIN
Germany,prophet,death_mobility,9334.980509308776,MAE,MIN
Germany,prophet,death_recovered,9480.506290960122,MAE,MIN
Germany,prophet,death_stringency,8345.811338390746,MAE,MIN
Germany,prophet,no_exog,6398.241401612539,MAE,MIN
Germany,sarima,death_all,1595.9710797585667,MAE,MIN
Germany,sarima,death_mobility,1696.2136456412518,MAE,MIN
Germany,sarima,death_recovered,1649.823109810382,MAE,MIN
Germany,sarima,death_stringency,1630.743623154838,MAE,MIN
Germany,sarima,no_exog,1339.2862221391042,MAE,MIN
Germany,svr,death_all,6169.734549512595,MAE,MIN
Germany,svr,death_mobility,5878.177810620699,MAE,MIN
Germany,svr,death_recovered,2343.469957102664,MAE,MIN
Germany,svr,death_stringency,6155.85676369128,MAE,MIN
Germany,svr,no_exog,926.8532987023656,MAE,MIN
Germany,arima,death_all,62185.52595919116,MAE,MAX
Germany,arima,death_mobility,63333.06263637927,MAE,MAX
Germany,arima,death_recovered,65402.1431606217,MAE,MAX
Germany,arima,death_stringency,65558.86384941947,MAE,MAX
Germany,arima,no_exog,72147.45712119063,MAE,MAX
Germany,cnn_lstm,death_all,77754.052734375,MAE,MAX
Germany,cnn_lstm,death_mobility,84549.70089285714,MAE,MAX
Germany,cnn_lstm,death_recovered,74354.25334821429,MAE,MAX
Germany,cnn_lstm,death_stringency,87475.95084762573,MAE,MAX
Germany,cnn_lstm,no_exog,86717.81417410714,MAE,MAX
Germany,curvefit_lstm,death_all,667563.0232543359,MAE,MAX
Germany,curvefit_lstm,death_mobility,540066.9855766227,MAE,MAX
Germany,curvefit_lstm,death_recovered,302183.6578074238,MAE,MAX
Germany,curvefit_lstm,death_stringency,484502.7422730512,MAE,MAX
Germany,curvefit_lstm,no_exog,294161.8025409083,MAE,MAX
Germany,lstm,death_all,84885.46484,MAE,MAX
Germany,lstm,death_mobility,71419.70200892857,MAE,MAX
Germany,lstm,death_recovered,65397.016810825895,MAE,MAX
Germany,lstm,death_stringency,75985.71847098214,MAE,MAX
Germany,lstm,no_exog,72026.5066266741,MAE,MAX
Germany,prophet,death_all,66155.52909998309,MAE,MAX
Germany,prophet,death_mobility,57343.89491033866,MAE,MAX
Germany,prophet,death_recovered,73557.38761993508,MAE,MAX
Germany,prophet,death_stringency,70523.4834917856,MAE,MAX
Germany,prophet,no_exog,71600.86503757413,MAE,MAX
Germany,sarima,death_all,54931.462992753535,MAE,MAX
Germany,sarima,death_mobility,55184.58988793906,MAE,MAX
Germany,sarima,death_recovered,56674.95200500874,MAE,MAX
Germany,sarima,death_stringency,56658.67083732505,MAE,MAX
Germany,sarima,no_exog,58384.27982371514,MAE,MAX
Germany,svr,death_all,104499.0407293012,MAE,MAX
Germany,svr,death_mobility,102951.25251081616,MAE,MAX
Germany,svr,death_recovered,99483.4037459568,MAE,MAX
Germany,svr,death_stringency,104455.95389522542,MAE,MAX
Germany,svr,no_exog,56203.08843480789,MAE,MAX
Germany,arima,death_all,9018.458447413645,RMSE,MEDIAN
Germany,arima,death_mobility,7658.44970810012,RMSE,MEDIAN
Germany,arima,death_recovered,6768.671075938288,RMSE,MEDIAN
Germany,arima,death_stringency,6790.217491084554,RMSE,MEDIAN
Germany,arima,no_exog,6852.076313682042,RMSE,MEDIAN
Germany,cnn_lstm,death_all,19555.273748133422,RMSE,MEDIAN
Germany,cnn_lstm,death_mobility,21101.22895739148,RMSE,MEDIAN
Germany,cnn_lstm,death_recovered,22591.64249738695,RMSE,MEDIAN
Germany,cnn_lstm,death_stringency,31438.695690316163,RMSE,MEDIAN
Germany,cnn_lstm,no_exog,20403.338687145017,RMSE,MEDIAN
Germany,curvefit_lstm,death_all,596148.9580064487,RMSE,MEDIAN
Germany,curvefit_lstm,death_mobility,482598.1698988021,RMSE,MEDIAN
Germany,curvefit_lstm,death_recovered,275202.2927078139,RMSE,MEDIAN
Germany,curvefit_lstm,death_stringency,429547.8539898866,RMSE,MEDIAN
Germany,curvefit_lstm,no_exog,255479.1229467618,RMSE,MEDIAN
Germany,lstm,death_all,20100.85184889471,RMSE,MEDIAN
Germany,lstm,death_mobility,14513.294256287078,RMSE,MEDIAN
Germany,lstm,death_recovered,10978.976990227353,RMSE,MEDIAN
Germany,lstm,death_stringency,19711.257319804743,RMSE,MEDIAN
Germany,lstm,no_exog,7544.056972352653,RMSE,MEDIAN
Germany,prophet,death_all,32454.297312951137,RMSE,MEDIAN
Germany,prophet,death_mobility,32679.182900528103,RMSE,MEDIAN
Germany,prophet,death_recovered,26233.545939962863,RMSE,MEDIAN
Germany,prophet,death_stringency,31876.4925176508,RMSE,MEDIAN
Germany,prophet,no_exog,31113.98737421556,RMSE,MEDIAN
Germany,sarima,death_all,8070.474519855011,RMSE,MEDIAN
Germany,sarima,death_mobility,7942.006588943797,RMSE,MEDIAN
Germany,sarima,death_recovered,7857.755000891608,RMSE,MEDIAN
Germany,sarima,death_stringency,7855.934075232211,RMSE,MEDIAN
Germany,sarima,no_exog,6623.341392267052,RMSE,MEDIAN
Germany,svr,death_all,31702.67288726295,RMSE,MEDIAN
Germany,svr,death_mobility,31678.823719705037,RMSE,MEDIAN
Germany,svr,death_recovered,26917.56604661285,RMSE,MEDIAN
Germany,svr,death_stringency,31650.923114681056,RMSE,MEDIAN
Germany,svr,no_exog,5791.114215777038,RMSE,MEDIAN
Germany,arima,death_all,6555.613498553355,RMSE,P25
Germany,arima,death_mobility,4869.826740833669,RMSE,P25
Germany,arima,death_recovered,4679.423918656616,RMSE,P25
Germany,arima,death_stringency,4686.739694777623,RMSE,P25
Germany,arima,no_exog,4676.179911709005,RMSE,P25
Germany,cnn_lstm,death_all,14933.44909685312,RMSE,P25
Germany,cnn_lstm,death_mobility,14955.565023625448,RMSE,P25
Germany,cnn_lstm,death_recovered,17696.98928504182,RMSE,P25
Germany,cnn_lstm,death_stringency,26419.144221219038,RMSE,P25
Germany,cnn_lstm,no_exog,16062.13332354519,RMSE,P25
Germany,curvefit_lstm,death_all,510764.2735091082,RMSE,P25
Germany,curvefit_lstm,death_mobility,415595.383294275,RMSE,P25
Germany,curvefit_lstm,death_recovered,238312.86558763665,RMSE,P25
Germany,curvefit_lstm,death_stringency,366099.7105453967,RMSE,P25
Germany,curvefit_lstm,no_exog,207726.6949104197,RMSE,P25
Germany,lstm,death_all,16257.109727391937,RMSE,P25
Germany,lstm,death_mobility,9719.816169834308,RMSE,P25
Germany,lstm,death_recovered,6580.49500082449,RMSE,P25
Germany,lstm,death_stringency,13810.080077469243,RMSE,P25
Germany,lstm,no_exog,4901.298742166027,RMSE,P25
Germany,prophet,death_all,24319.14704558251,RMSE,P25
Germany,prophet,death_mobility,21644.184050390933,RMSE,P25
Germany,prophet,death_recovered,20387.963404615144,RMSE,P25
Germany,prophet,death_stringency,20080.721419213503,RMSE,P25
Germany,prophet,no_exog,22931.36451347061,RMSE,P25
Germany,sarima,death_all,4992.103090041643,RMSE,P25
Germany,sarima,death_mobility,4864.708492779595,RMSE,P25
Germany,sarima,death_recovered,4890.069421917338,RMSE,P25
Germany,sarima,death_stringency,4895.0507042231175,RMSE,P25
Germany,sarima,no_exog,4420.73255210794,RMSE,P25
Germany,svr,death_all,23499.51084516502,RMSE,P25
Germany,svr,death_mobility,23355.425432318538,RMSE,P25
Germany,svr,death_recovered,18753.358311627388,RMSE,P25
Germany,svr,death_stringency,23441.821210294293,RMSE,P25
Germany,svr,no_exog,2792.18347004796,RMSE,P25
Germany,arima,death_all,21013.3071343833,RMSE,P75
Germany,arima,death_mobility,20792.920859106427,RMSE,P75
Germany,arima,death_recovered,19219.56519970685,RMSE,P75
Germany,arima,death_stringency,19119.778366607115,RMSE,P75
Germany,arima,no_exog,22547.912596021368,RMSE,P75
Germany,cnn_lstm,death_all,27965.582640558037,RMSE,P75
Germany,cnn_lstm,death_mobility,28393.108948170684,RMSE,P75
Germany,cnn_lstm,death_recovered,33735.10158795197,RMSE,P75
Germany,cnn_lstm,death_stringency,41474.363286830514,RMSE,P75
Germany,cnn_lstm,no_exog,28089.31500841352,RMSE,P75
Germany,curvefit_lstm,death_all,629613.0109828564,RMSE,P75
Germany,curvefit_lstm,death_mobility,509590.27368973993,RMSE,P75
Germany,curvefit_lstm,death_recovered,291311.6205276245,RMSE,P75
Germany,curvefit_lstm,death_stringency,454357.388426221,RMSE,P75
Germany,curvefit_lstm,no_exog,273846.80298002146,RMSE,P75
Germany,lstm,death_all,28865.17940755168,RMSE,P75
Germany,lstm,death_mobility,21059.73776850566,RMSE,P75
Germany,lstm,death_recovered,23419.933055719303,RMSE,P75
