model,country,W,F,target_var,alignment_MAE,alignment_RMSE,alignment_sMAPE,alignment_MAE_mean,alignment_MAE_median,alignment_MAE_p25,alignment_MAE_p75,alignment_MAE_std,alignment_MAE_min,alignment_MAE_max,alignment_RMSE_mean,alignment_RMSE_median,alignment_RMSE_p25,alignment_RMSE_p75,alignment_RMSE_std,alignment_RMSE_min,alignment_RMSE_max,alignment_sMAPE_mean,alignment_sMAPE_median,alignment_sMAPE_p25,alignment_sMAPE_p75,alignment_sMAPE_std,alignment_sMAPE_min,alignment_sMAPE_max,tp_same_sign,tp_diff_sign,tp_diff_percentage,tp_slope_diff_stats,global_same_sign,global_diff_sign,global_diff_percentage,global_slope_diff_stats,lead_lag_unmatched_rate,lead_lag_within_halfF_ratio,lead_lag_mean,lead_lag_std,lead_lag_median
delphi,Australia,NA,14,new_cases,7040.684598048046,8742.926488291327,76.80791136984902,7040.684598048046,5993.545946806503,3203.0716567297327,9885.152671532123,4804.769349566445,806.6411322764537,23146.707352818452,7318.7101002245,6160.385815334965,3866.1768919324977,9997.027464008192,4782.8073396842965,932.7982730215683,23575.93450081963,76.80791136984902,82.71273544489841,47.59290404076002,107.61694993452471,32.11164151044016,16.02450578309637,124.70550774122586,66,15,18.52,"(33.99991448775786, 0.5293356639126283, 0.20606741175011942, 7.1418450720665065, 66.04576179756276, 0.015481483272106559, 178.64863780579972)",112,17,13.18,"(24.32000772150672, 0.6049744632761017, 0.2428801373628854, 2.215767586561067, 57.8211909461965, 0.015481483272106559, 178.64863780579972)",0.7362637362637363,0.1978021978021978,4,3.6594131152175327,3
delphi,Australia,NA,28,new_cases,6156.683934857262,8387.793863167099,68.70510202572723,6156.683934857263,4132.482239285105,2514.976929069519,8524.584396958884,4754.9214304203015,1193.5368007218683,23228.49077273533,6778.244698111748,5036.439202760022,3118.137416665658,8921.591301355915,4940.6967831980555,1357.881684251028,24434.747445594392,68.70510202572723,66.16398189971801,41.12819446987099,89.93170304866995,29.561102515336053,21.776214261482757,141.3736482920991,84,37,30.58,"(52.94337996406639, 1.4666824610805211, 0.42353040692696375, 162.37393466885018, 77.85830105185799, 0.01729074996427302, 179.46820742661848)",92,37,28.68,"(49.71263062337286, 1.3645329720888222, 0.48950545380013377, 156.1187970610005, 76.44510205460429, 0.01729074996427302, 179.46820742661848)",0.5923913043478262,0.2826086956521739,11.92,6.291908145237667,12
delphi,Australia,NA,7,new_cases,7390.981401919811,8844.04337904735,81.33545151622931,7390.981401919811,6294.433254516896,4659.1015624838155,10464.872165790051,4675.178017657407,1103.572608886425,18946.42182963908,7542.043431565294,6505.221250871709,4916.249210361514,10476.816518703366,4618.948383220371,1129.9880291615407,19013.62923737896,81.3354515162293,93.64986784160726,48.560821448359995,112.03781190465014,34.20047023223853,20.972725250533365,122.94601145986842,35,8,18.6,"(32.141360938203235, 0.2586260163284784, 0.06434920260311378, 7.449635779956891, 64.06300969294037, 0.0006680162472816881, 178.85850462487568)",115,14,10.85,"(19.24235773362968, 0.26650243380226446, 0.055910291398016135, 0.9924045158166356, 52.89297875718014, 0.0006680162472816881, 178.85850462487568)",0.8979591836734694,0.08163265306122448,2,1.4142135623730951,1
delphi,Brazil,NA,14,new_cases,13914.361285626203,17619.251132802525,82.87343222003028,13914.3612856262,12965.656715047831,4899.384284209062,21049.748988701554,9981.735508961012,1029.2057333712849,35959.33822598696,14429.352299520118,13491.511182171675,6308.028123519237,21353.645465629786,10110.974369322497,1246.8532784933761,36686.48490372736,82.8734322200303,77.22710377293836,49.59794432887351,115.27949436083064,42.13121415931278,15.117225572947618,166.4808300447886,89,10,10.1,"(18.132558879735242, 0.15898890968485513, 0.0679106983691477, 0.3467120836238933, 53.24389833316756, 0.0011058739993386217, 178.74891045159328)",119,10,7.75,"(13.969649267309142, 0.1690316524686669, 0.0729264099029343, 0.30742664827374533, 47.25288608864915, 0.0011058739993386217, 178.74891045159328)",0.8383838383838383,0.1414141414141414,1.9375,3.5490609086536304,0
delphi,Brazil,NA,28,new_cases,12078.812479124315,15987.593127972492,80.32157164144877,12078.812479124315,9841.507879883284,4110.461795034471,18257.25810309911,8899.50089789871,1451.4279339479278,32809.27312907317,13189.464006993121,10997.428939120915,5091.125634228471,19520.535227793567,9035.550521901045,2035.3675106700184,34082.3969516044,80.32157164144877,67.54561041435896,49.51724008607116,112.47158635311494,39.445183634631334,12.845330678068281,178.4989063357918,109,20,15.5,"(27.789800659239884, 0.3177108572776334, 0.12919663092250513, 0.796934365909671, 63.51275428167206, 0.0006381687879816815, 179.8309064413776)",109,20,15.5,"(27.789800659239884, 0.3177108572776334, 0.12919663092250513, 0.796934365909671, 63.51275428167206, 0.0006381687879816815, 179.8309064413776)",0.6512820512820513,0.23076923076923078,10.426470588235293,7.736936368631732,10.5
delphi,Brazil,NA,7,new_cases,14506.305090058846,18005.515466871602,83.76559298486892,14506.305090058842,15135.535498056353,4295.361720828421,20897.045083037854,10136.992402444548,1106.1645612376637,38161.874695313396,14840.378210953511,15315.179787567347,4460.63886264093,21228.254779820007,10196.164072022808,1223.3680210218527,38573.82396619537,83.7655929848689,83.65248083799378,47.94685153596611,99.44344933769695,41.3420961340698,15.329091116138201,156.1388565682765,45,5,10,"(16.544953974080684, 0.11664592977181762, 0.034547792455355275, 0.3217189108293239, 49.31540602197975, 0.0037154853178505733, 178.98164383688803)",122,7,5.43,"(9.436410843983893, 0.07948906728936948, 0.021626359424409533, 0.19099073872766165, 38.07074538902739, 0.003162560401248305, 178.98164383688803)",0.88,0.12,0.6666666666666666,0.816496580927726,0.5
delphi,China,NA,14,new_cases,10331.067097075944,14877.533125346321,82.03307342194839,10331.067097075946,7178.161255032258,3185.880369339898,13128.456325387446,9740.603252066532,877.8836149812698,36958.54907432541,11079.205363626146,7319.612216506187,3751.782128749785,14490.428612722662,9929.360523536985,958.8877417811864,37314.36400767605,82.03307342194839,72.72001859691511,39.22300268015063,115.24383350980318,51.42627373126048,12.570937894333975,199.96715018664307,39,28,41.79,"(74.89428974102773, 0.577069978779752, 0.08222739005000204, 178.252257518328, 87.56125916135625, 0.0010164392878214356, 179.79857593865037)",97,35,26.52,"(49.47634244337393, 0.2222066142070013, 0.05108686035551726, 175.4925037461027, 78.04723861822836, 0.0010164392878214356, 179.79857593865037)",0.7448979591836735,0.23469387755102042,3.24,2.876340267307283,2
delphi,China,NA,28,new_cases,10890.540442531,15256.82764057757,92.13698046804335,10890.540442531,7840.20581618113,3234.2189434559064,16620.641499791545,8284.47677465088,1263.1538787948673,29126.838564212172,12433.223967005873,10731.151211394528,4468.092310512867,19431.963210058522,8842.269586512419,1658.8480066572035,30648.833268733844,92.13698046804336,97.59939403979072,55.42837852211508,116.0533907510833,44.76510216803394,18.54399095540267,199.94944074166017,46,41,47.13,"(85.31930126610861, 5.5056362347660786, 0.2290204764864896, 178.94751802422422, 88.43991549693109, 0.001889155865757621, 179.8503525235639)",91,41,31.06,"(59.24625766841888, 0.5720455966696874, 0.18435398258188743, 178.66294881080023, 81.4917040724175, 0.001889155865757621, 179.8503525235639)",0.5888888888888889,0.3055555555555556,9.5,6.956321654359013,10
delphi,China,NA,7,new_cases,11355.341260345735,15751.932810894665,82.5266501303819,11355.341260345735,7025.574620776374,3161.713090969137,16986.95044071459,10490.609452826377,915.9563753172848,37236.382158419736,11646.337864233516,7070.787418243295,3248.8829174058683,17054.83812396259,10605.95123650211,1165.5204379144752,38267.642583607136,82.52665013038188,60.35741929046695,39.47826085503981,114.70183045335375,56.20185904670592,10.915166255039962,199.9672564303278,23,8,25.81,"(45.73614845116402, 0.49378831707360127, 0.06355834782124781, 86.99002692307538, 74.79927565084506, 0.007278511974320941, 179.46630787894878)",117,15,11.36,"(21.544943735757894, 0.07941312466768086, 0.010613535163014708, 0.7047004687801767, 55.069216007597326, 0.0003501522948299886, 179.46630787894878)",0.7608695652173914,0.2391304347826087,1.0909090909090908,0.8312094145936334,1
delphi,Germany,NA,14,new_cases,24667.96035168595,32975.8624356444,56.25395605721722,24667.960351685946,15274.292489188723,6700.807955561086,40848.277736310956,19653.217952908057,3708.0125407164896,68524.42981243109,26161.545321623336,16714.43243819192,8038.423323015451,43260.5509069972,20074.38790496964,4498.557318942215,69693.576581732,56.25395605721724,54.45410465228409,22.783451117032648,85.25279537593805,31.394134597704824,10.671577072141087,118.8493303876168,48,29,37.66,"(67.69032895433664, 0.17425303750660046, 0.04241959253126044, 179.40560820708842, 86.85515269443069, 0.0003376671378172273, 179.78925449544857)",92,48,34.29,"(61.629655789578884, 0.12439568674385375, 0.03781431054504645, 179.41204720245304, 85.13608172426495, 0.0003376671378172273, 179.78925449544857)",0.7613636363636364,0.1590909090909091,4.190476190476191,4.226334672254998,1
delphi,Germany,NA,28,new_cases,20332.63830726261,28836.284759030954,51.80151538361076,20332.638307262605,15409.871055094332,7569.2928802749975,30860.327342314988,14576.046854824408,2181.5203057516183,61087.60816787591,23759.296954432033,18449.7793626958,8432.972649250763,36523.919600202986,16340.964688017584,3195.8280847611995,63115.22631482303,51.80151538361076,48.712457736166336,34.22601132555269,64.5718805201883,26.32013170040392,10.974686624458553,166.6579047839813,68,65,48.87,"(87.83114356678944, 1.6607100993319763, 0.1702404929247049, 179.7266754817351, 89.49421714505847, 0.005750411702053085, 179.9365631872543)",71,69,49.29,"(88.78721033175778, 16.425999721909868, 0.1814569435926026, 179.72324348332089, 89.31323454862012, 0.005750411702053085, 179.9365631872543)",0.45251396648044695,0.29608938547486036,12.908163265306122,7.293672917869532,14
delphi,Germany,NA,7,new_cases,25132.913684472278,34086.79724469224,57.299356667114665,25132.913684472267,15225.250596957345,7885.05575471729,45289.67158297014,22114.53813742718,3536.2244021822285,71532.41255409893,25825.165905672697,15477.122960191016,8302.190373002088,46087.961581203635,22247.933664617918,4051.993558084634,71707.74005462669,57.29935666711468,54.16056888480525,24.16004660318653,91.78722927488903,35.324036548080976,9.016676717458747,109.76465728573253,23,18,43.9,"(78.7735300642306, 0.5427428780099924, 0.014312318082537034, 179.0450047612852, 88.60924929225605, 0.0001129331220136143, 179.6211299017817)",104,36,25.71,"(45.99677783826609, 0.045504394924153466, 0.008726589758379992, 161.4685506527393, 77.92180636910456, 0.0001129331220136143, 179.66861780473872)",0.7659574468085106,0.23404255319148937,0.7272727272727273,0.6466697906828633,1
delphi,India,NA,14,new_cases,1394.879915612973,2941.2605474955676,65.72689877981564,1394.879915612973,502.187739828149,89.1300479666358,1183.0720378577128,2415.7620925330457,5.512310167780671,14709.625061945326,1475.6341862064162,567.0372782944384,99.81346731518741,1369.3511922573907,2544.310782265573,7.983515109482549,15748.755922191465,65.72689877981566,64.63401830166256,40.93015432169804,94.0816274790735,36.40410795619717,4.475762736699101,141.8334457706708,47,11,18.97,"(34.402271546299396, 6.848123658274826, 0.7709191030648854, 30.80127168925237, 54.820981050956156, 0.07588401821299696, 162.37517110861688)",110,15,12,"(22.011067940091788, 1.9578031037619315, 0.5609800374900156, 11.971369602981419, 45.19469837054138, 0.007618616682037527, 162.37517110861688)",0.8313253012048193,0.1686746987951807,1.4285714285714286,2.064881658530644,1
delphi,India,NA,28,new_cases,1155.0084100466604,2227.663254920555,61.77160148996958,1155.0084100466609,447.837532526915,87.13902561672064,1810.1609286390635,1492.5212213225159,22.550943291408636,8165.545978678609,1330.7970897899993,541.4341187864801,101.4212319702318,1983.986884041731,1786.4665356870555,24.554530582518105,11238.472981419765,61.77160148996956,58.26985632442575,40.004527075231685,82.10296804172202,27.369093853963438,16.908663401193667,123.89591729227296,71,31,30.39,"(47.269648065557796, 7.634734880638623, 0.6208989835913579, 118.26659200677538, 58.77682515093126, 0.1943271432434584, 149.1877221186264)",94,31,24.8,"(39.61669375793974, 5.20983729710901, 0.7484327429350518, 84.75923310734838, 55.550566452731545, 0.1830254207702169, 149.1877221186264)",0.7380952380952381,0.17857142857142858,10.75,8.350254139009573,7
delphi,India,NA,7,new_cases,1458.3139087177283,3008.935296430286,75.07701917314992,1458.3139087177283,538.7884709554967,99.72847869769059,1291.5985916884104,2602.2889395776087,15.77279557018792,9956.068186645198,1479.5670549634676,551.8213370265391,102.24382437713209,1311.7184237627907,2620.033005130039,19.09830442372949,10028.065369715281,75.07701917314992,72.81779756782163,58.41149299288182,108.55148335570325,37.44682233620267,7.7292870828641576,151.8233894793043,20,8,28.57,"(37.67583659304305, 3.147505790596227, 1.011961902319062, 51.73412330292416, 55.586019054888375, 0.055148534488685105, 156.35471721619768)",110,15,12,"(18.058481433348305, 1.4743484924633443, 0.23842301230719068, 5.508466369782421, 42.198730300922236, 0.0003631325149836508, 156.35471721619768)",0.875,0.125,0.6,0.5477225575051662,1
delphi,United Kingdom,NA,14,new_cases,3680.67371826265,4447.119139442887,75.62874840216128,3680.67371826265,3690.7706813250943,2134.28026732092,4675.250769732487,2022.0199119425954,777.1495523793122,10507.409475099088,3923.2441755248606,3862.9293845575476,2426.058195099181,4726.58153224406,2094.044837058054,857.7614049572536,11049.587649575937,75.62874840216129,71.6976012534612,55.48021690632341,92.90854549450314,33.378323531073676,15.470823562289171,183.76886390192183,36,30,45.45,"(80.52238076483596, 8.951309862753055, 0.7680795252283026, 178.0484102554985, 86.46986738145748, 0.08966294303002627, 178.90665972713396)",90,50,35.71,"(63.986207088827335, 1.1062987880036879, 0.43071598663027977, 177.3448362084396, 83.69049584796724, 0.02155729984534292, 178.925014587994)",0.704225352112676,0.28169014084507044,6.238095238095238,2.826743035805729,7
delphi,United Kingdom,NA,28,new_cases,3043.8451732257654,3777.6729955516003,80.60511764531893,3043.845173225766,2885.2324823838994,2312.5077068120236,3591.6058402149483,1219.9898933213844,323.30831402052036,7637.380015754433,3518.611712182456,3334.8876476439636,2605.9977550937665,4117.469870647164,1374.8399471255714,625.9585031541984,8349.49993371556,80.60511764531891,61.90662933886465,47.31906214999928,94.9983444727285,48.323727251241344,10.757138466841276,198.90407418478546,55,69,55.65,"(98.88219903899429, 172.08942449961702, 2.5284270979266297, 178.3669079827262, 85.5636303204861, 0.04516729774275199, 179.1885037287359)",64,76,54.29,"(96.45151386677254, 170.50647877285712, 1.9964185261480896, 178.35321318281908, 86.08825997955459, 0.009915455554361123, 179.1885037287359)",0.3783783783783784,0.46621621621621623,10.945652173913043,7.133521132359488,11
delphi,United Kingdom,NA,7,new_cases,3839.5279893824095,4359.529743353845,81.54407769526313,3839.527989382409,3936.556889834176,2603.6099480964763,4900.746801860023,1922.9101370386616,856.7077462233203,8803.022448601478,3901.5451893797726,3984.178104436417,2610.7648206049735,4904.692271733713,1945.1078937720652,944.157539282547,8803.16318251607,81.54407769526314,75.24886602916487,62.95564064209036,82.91357795168116,39.16864362310119,18.208280999784908,194.65334031594017,23,10,30.3,"(52.13185089180246, 1.2710024737709098, 0.13269620434223423, 170.98575628370756, 77.38088032761573, 0.00030354263238312385, 177.44476346030808)",113,27,19.29,"(34.08653912549203, 0.23529289209718654, 0.06522953156182575, 3.5649728722331666, 68.27593935110329, 0.00030354263238312385, 178.67763252518483)",0.6285714285714286,0.37142857142857144,0,0,0
delphi,US,NA,14,new_cases,20172.09377028533,24754.897196514583,35.07424996862513,20172.09377028533,21775.39898796624,8753.295075222257,27981.43978100329,12825.069611452634,1791.9814064212587,83454.41491079722,21149.499881748972,22772.314031822323,10145.36058523009,28062.593833446645,12864.819857343744,2154.587464731432,91290.83257269386,35.07424996862513,36.16993428948778,20.412621037379118,48.3252992812852,18.318527684297912,4.5128264321636316,91.28408837765498,65,34,34.34,"(61.72661698378799, 0.2920364500901572, 0.038236570741854506, 178.990191814872, 84.88617723398642, 0.0006853608492163549, 179.83138129263241)",90,42,31.82,"(57.18533620062368, 0.15056551029341086, 0.03329919904559747, 178.98312956406411, 83.33977845796366, 2.798954078210799e-05, 179.83138129263241)",0.9090909090909091,0.09090909090909091,4.333333333333333,2.29128784747792,5
delphi,US,NA,28,new_cases,19452.813084118996,23549.258656674905,38.337344141202934,19452.813084118992,18015.028494709033,12072.29707832611,26530.58621805699,9908.12053366158,3268.708602238016,49251.682255732994,21318.43375163698,20726.170151064995,14236.003743196005,27207.27369114215,10004.597226077765,4339.985927969151,65661.53077867358,38.33734414120293,35.83548503198687,26.686017537238172,49.22188826212091,19.3297082267417,8.08063696304798,95.895723158945,88,44,33.33,"(59.875341467474406, 0.18000985760468838, 0.03522538615577756, 179.40268412396915, 84.28126766099723, 0.005460429744252292, 179.72366490537345)",88,44,33.33,"(59.875341467474406, 0.18000985760468838, 0.03522538615577756, 179.40268412396915, 84.28126766099723, 0.005460429744252292, 179.72366490537345)",0.6192893401015229,0.26903553299492383,9.32,8.039026430230587,5
delphi,US,NA,7,new_cases,18941.37071736962,22701.23331868522,33.02990037785341,18941.370717369617,21543.566052932925,7347.592081433446,28567.841004936887,11904.526037469544,1603.9275197274505,40906.43341368369,19588.733529724475,22088.619360429177,8455.65814650198,28603.675336040887,11472.903420269522,1789.9186428582136,41025.21688277455,33.02990037785341,41.147571516612146,16.734956004820987,46.74317674433513,17.969451664677166,3.901369876578705,60.27109780183763,44,6,12,"(22.124375126923745, 0.09528918968874114, 0.014797322829812576, 0.7710761211665703, 57.707535489836516, 0.0023440493132397, 179.3322398973014)",115,17,12.88,"(23.32119546318046, 0.031686614614132906, 0.008696145246275346, 0.47696506446950176, 59.62507937269781, 0.0002924530703324543, 179.5704463406385)",0.92,0.04,3.25,2.6299556396765835,3
